chain,subsection_id,subsection_label,applies,scheme_used,status,notes
<chain_name>,1.1,Account signing keys,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,1.2,Key custody & storage,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,1.3,MPC / threshold signing,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,1.4,Account abstraction / smart accounts,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,1.5,Passkeys / session keys,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,1.6,Identity & naming,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,1.7,Governance & voting,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,2.1,Contract signature verification,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,2.2,On-chain proof & pairing verifiers,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,2.3,Oracles & external data feeds,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,2.4,Verifiable randomness & beacons,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,2.5,Time-based ordering / VDF,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,3.1,Sequencing & ordering,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,3.2,Proof system,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,3.3,Trusted setup,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,3.4,Data-availability commitment,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,3.5,State commitment,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,3.6,Execution / VM,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,4.1,Consensus & finality signatures,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,4.2,Light clients & sync committees,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,4.3,Settlement / L1 anchoring,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,4.4,Bridges & cross-chain messaging,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,4.5,Restaking / AVS attestations,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,4.6,Payment channels & conditional transfers,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,4.7,MEV / builder-relay (PBS),yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,5.1,Node-to-node transport (P2P),yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,5.2,Node identity keys,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,5.3,RPC / API & client transport,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,5.4,On-chain key agreement & stealth addresses,yes|no|na,,safe|breakable|depends|na|unknown,
<chain_name>,5.5,Application-layer encryption & privacy,yes|no|na,,safe|breakable|depends|na|unknown,
